Objective,Principle,PrincipleTitle,AreaID,AreaTitle,Status,IGP
A,A1,Governance,A1.a,Board Direction,Not Achieved,The security of network and information systems related to the operation of essential function(s) is not discussed or reported on regularly at board-level.
A,A1,Governance,A1.a,Board Direction,Not Achieved,"Board-level discussions on the security of network and information systems are based on partial or out-of-date information, without the benefit of expert guidance."
A,A1,Governance,A1.a,Board Direction,Not Achieved,The security of network and information systems supporting your essential function(s) are not driven effectively by the direction set at board-level.
A,A1,Governance,A1.a,Board Direction,Not Achieved,Senior management or other pockets of the organisation consider themselves exempt from some policies or expect special accommodations to be made.
A,A1,Governance,A1.a,Board Direction,Achieved,"Your organisation's approach and policy relating to the security of network and information systems supporting the operation of your essential function(s) are owned and managed at board-level. These are communicated, in a meaningful way, to risk management decision-makers across the organisation."
A,A1,Governance,A1.a,Board Direction,Achieved,"Regular board-level discussions on the security of network and information systems supporting the operation of your essential function(s) take place, based on timely and accurate information and informed by expert guidance."
A,A1,Governance,A1.a,Board Direction,Achieved,There is a board-level individual who has overall accountability for the security of network and information systems and drives regular discussion at board-level.
A,A1,Governance,A1.a,Board Direction,Achieved,Direction set at board-level is translated into effective organisational practices that direct and control the security of network and information systems supporting your essential function(s).
A,A1,Governance,A1.a,Board Direction,Achieved,The board has the information and understanding needed in order to effectively discuss how the security and resilience of network and information systems contributes to the delivery of essential function(s) and what the potential impact from compromise of those systems would be.
A,A1,Governance,A1.a,Board Direction,Achieved,Security is recognised as an important enabler for the resilience of your essential function(s) and considered in all relevant discussions.
A,A1,Governance,A1.b,Roles and Responsibilities,Not Achieved,"Key roles are missing, left vacant, or fulfilled on an ad-hoc or informal basis."
A,A1,Governance,A1.b,Roles and Responsibilities,Not Achieved,"Staff are assigned security responsibilities but without adequate authority or resources to fulfil them."
A,A1,Governance,A1.b,Roles and Responsibilities,Not Achieved,"Staff are unsure what their responsibilities are for the security of the essential function(s)."
A,A1,Governance,A1.b,Roles and Responsibilities,Achieved,Key roles and responsibilities for the security of network and information systems supporting your essential function(s) have been identified. These are reviewed regularly to ensure they remain fit for purpose.
A,A1,Governance,A1.b,Roles and Responsibilities,Achieved,"Appropriately capable and knowledgeable staff fill those roles and are given the time, authority, and resources to carry out their duties."
A,A1,Governance,A1.b,Roles and Responsibilities,Achieved,There is clarity on who in your organisation has overall accountability for the security of network and information systems supporting your essential function(s).
A,A1,Governance,A1.c,Decision-making,Not Achieved,"What should be relatively straightforward risk decisions are constantly referred up the chain, or not made."
A,A1,Governance,A1.c,Decision-making,Not Achieved,Risks are resolved informally (or ignored) at a local level when the use of a more formal risk reporting mechanism would be more appropriate.
A,A1,Governance,A1.c,Decision-making,Not Achieved,"Decision-makers are unsure of what senior management's risk appetite is, or only understand it in vague terms such as ""averse"" or ""cautious""."
A,A1,Governance,A1.c,Decision-making,Not Achieved,Decision-makers are unable to justify their risk management decisions.
A,A1,Governance,A1.c,Decision-making,Not Achieved,Organisational structure causes risk decisions to be made in isolation. (e.g. engineering and IT do not talk to each other about risk).
A,A1,Governance,A1.c,Decision-making,Not Achieved,Risk priorities are too vague to make meaningful distinctions between them. (e.g. almost all risks are rated 'medium' or 'amber').
A,A1,Governance,A1.c,Decision-making,Achieved,Senior management have visibility of key risk decisions made throughout the organisation.
A,A1,Governance,A1.c,Decision-making,Achieved,"Risk management decision-makers understand their responsibilities for making effective and timely decisions in the context of the risk appetite regarding the essential function(s), as set by senior management."
A,A1,Governance,A1.c,Decision-making,Achieved,"Risk management decision-making is delegated and escalated where necessary, across the organisation, to people who have the skills, knowledge, tools and authority they need."
A,A1,Governance,A1.c,Decision-making,Achieved,Risk management decisions are regularly reviewed to ensure their continued relevance and validity.
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,Risk assessments are not based on a clearly defined set of threat assumptions.
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,Risk assessment outputs are too complex or unwieldy to be consumed by decisionmakers and are not effectively communicated in a clear and timely manner.
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,"Risk assessments for network and information systems supporting your essential function(s) are a ""one-off"" activity or not done at all."
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,The security elements of projects or programmes are solely dependent on the completion of a risk management assessment without any regard to the outcomes.
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,There is no systematic process in place to ensure that identified security risks are managed effectively.
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,"Systems are assessed in isolation, without consideration of dependencies and interactions with other systems. (e.g. interactions between IT and OT environments)."
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,Security requirements and mitigations are arbitrary or are applied from a control catalogue without consideration of how they contribute to the security of network and information systems supporting your essential function(s).
A,A2,Risk Management,A2.a,Risk Management Process,Not Achieved,Risks remain unresolved on a register for prolonged periods of time awaiting senior decision-making or resource allocation to resolve.
A,A2,Risk Management,A2.a,Risk Management Process,Partially Achieved,"Your organisational process ensures that security risks to network and information systems relevant to essential function(s) are identified, analysed, prioritised, and managed."
A,A2,Risk Management,A2.a,Risk Management Process,Partially Achieved,Your risk assessments are informed by an understanding of known and well understood threats and vulnerabilities in network and information systems supporting your essential function(s).
A,A2,Risk Management,A2.a,Risk Management Process,Partially Achieved,The output from your risk management process is a clear set of security requirements that will address the risks in line with your organisational approach to security.
A,A2,Risk Management,A2.a,Risk Management Process,Partially Achieved,Significant conclusions reached in the course of your risk management process are communicated to key security decisionmakers and accountable individuals.
A,A2,Risk Management,A2.a,Risk Management Process,Partially Achieved,"You conduct risk assessments when significant events potentially affect the essential function(s), such as replacing a system, introducing new or emergent technologies or a change in the cyber security threat."
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,"Your organisational process ensures that security risks to network and information systems relevant to essential function(s) are identified, analysed, prioritised, and managed."
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,"Your approach to risk is focused on the possibility of adverse impact to your essential function(s), leading to a detailed understanding of how such impact might arise as a consequence of possible threat actor actions and the security properties of network and information systems supporting your essential function(s)."
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,"Your risk assessments are based on a clearly understood set of threat assumptions, informed by an up-to-date understanding of threats to network and information systems supporting your essential function(s), your sector and wider national infrastructure."
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,Your risk assessments are informed by an understanding of the vulnerabilities in network and information systems supporting your essential function(s).
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,The output from your risk management process is a clear set of traceable and prioritised security requirements that will address the risks in line with your organisational approach to security.
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,Significant conclusions reached in the course of your risk management process are communicated to key security decisionmakers and accountable individuals.
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,"Your risk assessments are dynamic and readily updated in the light of relevant changes which may include technical changes to network and information systems supporting your essential function(s), change of use, the introduction of new or emergent technologies or new threat information."
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,"The effectiveness of your risk management process is reviewed regularly, and improvements made as required."
A,A2,Risk Management,A2.a,Risk Management Process,Achieved,You anticipate technological developments that could be used to adversely impact network and information systems supporting your essential function(s).
A,A2,Risk Management,A2.b,Understanding Threat,Not Achieved,You are unable to perform threat analysis.
A,A2,Risk Management,A2.b,Understanding Threat,Not Achieved,You do not understand the threats to network and information systems supporting your essential function(s). 
A,A2,Risk Management,A2.b,Understanding Threat,Not Achieved,You do not have a clearly defined set of threat assumptions.
A,A2,Risk Management,A2.b,Understanding Threat,Not Achieved,You do not use your understanding of threat to inform your risk management decisions. 
A,A2,Risk Management,A2.b,Understanding Threat,Partially Achieved,You perform threat analysis and understand how common threats apply to network and information systems supporting your essential function(s).
A,A2,Risk Management,A2.b,Understanding Threat,Partially Achieved,"You understand common types of cyber attacks, including the methods and techniques, and how these might apply to network and information systems supporting your essential function(s). This understanding is kept up to date. "
A,A2,Risk Management,A2.b,Understanding Threat,Partially Achieved,You anticipate what threat actors might target in network and information systems to cause an adverse impact to your essential function(s). 
A,A2,Risk Management,A2.b,Understanding Threat,Partially Achieved,Your understanding of threat is informed by common incidents.
A,A2,Risk Management,A2.b,Understanding Threat,Partially Achieved,You apply your understanding of threat to inform your risk management decision-making.
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,"You perform detailed threat analysis and understand how this applies to network and information systems supporting your essential function(s), in the context of your sector and wider national infrastructure. "
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,Your detailed understanding of threat includes the methods and techniques available to capable and well-resourced threat actors and how they could be used systematically against network and information systems supporting your essential function(s). 
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,"You use appropriate techniques to develop an understanding of network and information systems supporting your essential function(s) from a threat actor's perspective. You anticipate probable attack methods and techniques, targets and objectives, and develop plausible scenarios."
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,You understand the different steps a capable and well-resourced threat actor would need to take to reach the probable target(s). 
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,You identify and justify what measures can be used at each step to reduce the likelihood of the threat actor reaching the probable target(s) or achieving their objective(s).
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,You maintain a detailed understanding of current threats (e.g. by threat intelligence and proactive research).
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,You apply your detailed understanding of threat to inform your risk management decision-making.
A,A2,Risk Management,A2.b,Understanding Threat,Achieved,You have documented the steps required to undertake detailed threat analysis.
A,A2,Risk Management,A2.c,Assurance,Not Achieved,"A particular product or service is seen as a ""silver bullet"" and vendor claims are taken at face value."
A,A2,Risk Management,A2.c,Assurance,Not Achieved,Assurance methods are applied without appreciation of their strengths and limitations.
A,A2,Risk Management,A2.c,Assurance,Not Achieved,Assurance is assumed because there have been no known problems to date.
A,A2,Risk Management,A2.c,Assurance,Achieved,You validate that the security measures in place to protect network and information systems supporting your essential function(s) are effective and remain effective for the lifetime over which they are needed.
A,A2,Risk Management,A2.c,Assurance,Achieved,You understand the assurance methods available to you and choose appropriate methods to gain confidence in the security of network and information systems supporting your essential function(s).
A,A2,Risk Management,A2.c,Assurance,Achieved,"Your confidence in the security as it relates to your technology, people, and processes can be justified to, and verified by, a third party."
A,A2,Risk Management,A2.c,Assurance,Achieved,"Security deficiencies uncovered by assurance activities are assessed, prioritised and remedied when necessary in a timely and effective way."
A,A2,Risk Management,A2.c,Assurance,Achieved,The methods used for assurance are reviewed to ensure they are working as intended and remain the most appropriate method to use.
A,A3,Asset Management,A3.a,Asset Management,Not Achieved,"Inventories of assets relevant to network and information systems supporting your essential function(s) are incomplete, non-existent or inadequately detailed."
A,A3,Asset Management,A3.a,Asset Management,Not Achieved,Only certain domains or types of asset are documented and understood. Dependencies between assets are not understood (such as the dependencies between IT and OT).
A,A3,Asset Management,A3.a,Asset Management,Not Achieved,"Information assets, which could include personally identifiable information and / or important / critical data, are stored for long periods of time with no clear business need or retention policy."
A,A3,Asset Management,A3.a,Asset Management,Not Achieved,"Knowledge critical to the management, operation, or recovery of network and information systems supporting your essential function(s) is held by one or two key individuals with no succession plan."
A,A3,Asset Management,A3.a,Asset Management,Not Achieved,Asset inventories are neglected and out of date.
A,A3,Asset Management,A3.a,Asset Management,Achieved,All assets relevant to the secure operation of network and information systems supporting your essential function(s) are identified and inventoried (at a suitable level of detail). The inventory is kept up-to-date.
A,A3,Asset Management,A3.a,Asset Management,Achieved,"Dependencies on supporting infrastructure (e.g. power, cooling etc) are recognised and recorded."
A,A3,Asset Management,A3.a,Asset Management,Achieved,You have prioritised your assets according to their importance to the operation of network and information systems supporting your essential function(s).
A,A3,Asset Management,A3.a,Asset Management,Achieved,"You have assigned responsibility for managing all assets, including physical assets, relevant to the operation of network and information systems supporting your essential function(s)."
A,A3,Asset Management,A3.a,Asset Management,Achieved,"Assets relevant to network and information systems supporting your essential function(s) are managed with cyber security in mind throughout their lifecycle, from creation through to eventual decommissioning or disposal."
A,A4,Supply Chain,A4.a,Supply Chain,Not Achieved,"You do not know what data belonging to you is held by suppliers, or how it is managed."
A,A4,Supply Chain,A4.a,Supply Chain,Not Achieved,Elements of the supply chain for network and information systems supporting your essential function(s) are subcontracted and you have little or no visibility of the sub-contractors.
A,A4,Supply Chain,A4.a,Supply Chain,Not Achieved,You have no understanding of which contracts are relevant and / or relevant contracts do not specify appropriate security obligations.
A,A4,Supply Chain,A4.a,Supply Chain,Not Achieved,"Suppliers have access to network and information systems that support your essential function(s) that is unrestricted, not monitored or bypasses your own security controls."
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,You understand the general risks suppliers may pose to network and information systems supporting your essential function(s).
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,"You know the extent of your supply chain that supports network and information systems supporting your essential function(s), including sub-contractors."
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,Suppliers to network and information systems that support your essential function(s) can demonstrate appropriate and proportionate levels of cyber security within the context of common threats.
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,"You understand which contracts are relevant and you include appropriate security obligations, in relevant contracts."
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,You are aware of all third-party connections and have assurance that they meet your organisation's security requirements.
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,Your approach to security incident management considers incidents that might arise in your supply chain.
A,A4,Supply Chain,A4.a,Supply Chain,Partially Achieved,You have confidence that information held by suppliers that is necessary for the operation of network and information systems supporting your essential function(s) is appropriately protected from common threats.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,"You have a deep understanding of your supply chain, including subcontractors, and the wider risks it faces. "
